STATE,STNAME,CTYNAME,fips,state,Year,Population,Year_datetime
FL,Florida,Pasco County,12101.0,FL,2002,371409,2002-01-01
FL,Florida,Pinellas County,12103.0,FL,2002,923557,2002-01-01
FL,Florida,Polk County,12105.0,FL,2002,498428,2002-01-01
FL,Florida,Putnam County,12107.0,FL,2002,71004,2002-01-01
FL,Florida,St. Johns County,12109.0,FL,2002,135882,2002-01-01
FL,Florida,St. Lucie County,12111.0,FL,2002,204349,2002-01-01
FL,Florida,Santa Rosa County,12113.0,FL,2002,128077,2002-01-01
FL,Florida,Sarasota County,12115.0,FL,2002,338940,2002-01-01
FL,Florida,Seminole County,12117.0,FL,2002,381313,2002-01-01
FL,Florida,Sumter County,12119.0,FL,2002,57482,2002-01-01
FL,Florida,Suwannee County,12121.0,FL,2002,35942,2002-01-01
FL,Florida,Taylor County,12123.0,FL,2002,19222,2002-01-01
FL,Florida,Union County,12125.0,FL,2002,13472,2002-01-01
FL,Florida,Volusia County,12127.0,FL,2002,458400,2002-01-01
FL,Florida,Wakulla County,12129.0,FL,2002,24929,2002-01-01
FL,Florida,Walton County,12131.0,FL,2002,44046,2002-01-01
FL,Florida,Washington County,12133.0,FL,2002,21148,2002-01-01
GA,Georgia,Appling County,13001.0,GA,2002,17513,2002-01-01
GA,Georgia,Atkinson County,13003.0,GA,2002,7708,2002-01-01
GA,Georgia,Bacon County,13005.0,GA,2002,10008,2002-01-01
GA,Georgia,Baker County,13007.0,GA,2002,3954,2002-01-01
GA,Georgia,Baldwin County,13009.0,GA,2002,45061,2002-01-01
GA,Georgia,Banks County,13011.0,GA,2002,15136,2002-01-01
GA,Georgia,Barrow County,13013.0,GA,2002,50982,2002-01-01
GA,Georgia,Bartow County,13015.0,GA,2002,82246,2002-01-01
